,endTime,artistName,trackName,msPlayed
4451,2021-10-27 13:41,Shawn Mendes,Teach Me How To Love,41246
4452,2021-10-27 13:45,BETWEEN FRIENDS,affection,235225
4453,2021-10-27 13:47,Realestk,WFM,136000
4454,2021-10-27 13:51,Gesaffelstein,Lost in the Fire (feat. The Weeknd),202093
4455,2021-10-27 13:53,Doja Cat,Get Into It (Yuh),138293
4456,2021-10-27 13:56,Masked Wolf,Astronaut In The Ocean (Remix) - feat. G-Eazy & DDG,195750
4457,2021-10-27 14:00,Taylor Swift,Wildest Dreams (Taylor's Version),220433
4458,2021-10-27 14:02,Dazel Ukuto,I Want You Back (Remix),142913
4459,2021-10-27 14:04,MC Flavor Crew,Talk About You (I Want You Back) [Talking to the Moon Tiktok Remix),79699
4460,2021-10-27 14:05,Dua Lipa,Love Again - Imanbek Remix,56541
4461,2021-10-27 15:23,Maroon 5,Animals,36540
4462,2021-10-27 15:55,Maroon 5,Animals,194467
4463,2021-10-27 15:59,Shawn Mendes,Teach Me How To Love,202356
4464,2021-10-27 16:03,BETWEEN FRIENDS,affection,235225
4465,2021-10-27 16:05,Realestk,WFM,136000
4466,2021-10-27 16:08,Gesaffelstein,Lost in the Fire (feat. The Weeknd),202093
4467,2021-10-27 16:11,Doja Cat,Get Into It (Yuh),138293
4468,2021-10-27 16:14,Masked Wolf,Astronaut In The Ocean (Remix) - feat. G-Eazy & DDG,195750
4469,2021-10-27 16:18,Dazel Ukuto,I Want You Back (Remix),42300
4470,2021-10-27 16:18,Taylor Swift,Wildest Dreams (Taylor's Version),220433
4471,2021-10-27 16:28,BETWEEN FRIENDS,affection,44410
4472,2021-10-27 16:29,Blood Orange,Better Than Me,45310
4473,2021-10-27 16:30,Jermaine Stewart,We Don't Have To Take Our Clothes Off,77830
4474,2021-10-27 16:30,Jazmine Sullivan,Pick Up Your Feelings,2460
4475,2021-10-27 16:31,Vampire Weekend,This Life,17420
4476,2021-10-27 16:35,HAIM,Falling,97266
4477,2021-10-27 16:35,Maggie Rogers,Retrograde,1834
4478,2021-10-27 18:24,Maroon 5,Animals,221290
4479,2021-10-27 18:27,Kings of Leon,Use Somebody,230760
4480,2021-10-27 18:31,Kings of Leon,Use Somebody,230760
4481,2021-10-27 18:32,Kings of Leon,Use Somebody,71688
4482,2021-10-27 18:36,BETWEEN FRIENDS,affection,235225
4483,2021-10-27 18:37,Doja Cat,Get Into It (Yuh),29469
4484,2021-10-27 18:37,Ariana Grande,Love Me Harder,1471
4485,2021-10-27 18:37,Hozier,Nina Cried Power,28288
4486,2021-10-27 18:40,Realestk,WFM,136000
4487,2021-10-27 18:43,Gesaffelstein,Lost in the Fire (feat. The Weeknd),202093
4488,2021-10-27 18:45,Doja Cat,Get Into It (Yuh),138293
4489,2021-10-27 18:49,Masked Wolf,Astronaut In The Ocean (Remix) - feat. G-Eazy & DDG,195750
4490,2021-10-27 18:52,Taylor Swift,Wildest Dreams (Taylor's Version),220433
4491,2021-10-27 18:53,Dua Lipa,Love Again,1535
4492,2021-10-27 18:53,Dua Lipa,Love Again - Imanbek Remix,1706
4493,2021-10-27 18:53,Dazel Ukuto,I Want You Back (Remix),57804
4494,2021-10-27 18:53,MC Flavor Crew,Talk About You (I Want You Back) [Talking to the Moon Tiktok Remix),3242
4495,2021-10-27 18:56,Billie Eilish,Bored,180933
4496,2021-10-27 19:00,Doja Cat,Streets - Silhouette Remix,242692
4497,2021-10-27 19:03,Snoh Aalegra,Worse,132760
4498,2021-10-27 19:06,Justin Bieber,Red Eye (feat. TroyBoi),187452
4499,2021-10-27 19:12,Madonna,Frozen,367333
4500,2021-10-27 19:16,Kanye West,Hurricane,238182
4501,2021-10-28 05:33,James Blake,Coming Back (feat. SZA),359446
4502,2021-10-28 05:37,BETWEEN FRIENDS,affection,235225
4503,2021-10-28 05:40,Kali Uchis,Dead To Me,199505
4504,2021-10-28 05:43,Montell Fish,Talk 2 Me,139805
4505,2021-10-28 05:46,Tame Impala,Feels Like We Only Go Backwards,1223
4506,2021-10-28 05:46,Lana Del Rey,Cinnamon Girl,1045
4507,2021-10-28 05:46,Doja Cat,Been Like This,3882
